symbol,name,market,enabled,price_enabled,news_enabled,price_threshold_pct,price_provider,price_symbol,news_provider,news_symbol,countries,language
ORN,오라이언 그룹 홀딩스,us,true,true,true,3.0,twelvedata,ORN,marketaux,ORN,us,en
DDOG,데이터독,us,true,true,true,3.0,twelvedata,DDOG,marketaux,DDOG,us,en
PSLV,SPROTT PHYSICAL SILVER TRUST,us,true,true,true,3.0,twelvedata,PSLV,marketaux,PSLV,us,en
CPNG,쿠팡,us,true,true,true,3.0,twelvedata,CPNG,marketaux,CPNG,us,en
KLAC,KLA,us,true,true,true,3.0,twelvedata,KLAC,marketaux,KLAC,us,en
PLTR,팔란티어 테크,us,true,true,true,3.0,twelvedata,PLTR,marketaux,PLTR,us,en
RKLB,로켓 랩,us,true,true,true,3.0,twelvedata,RKLB,marketaux,RKLB,us,en
SNDK,샌디스크,us,true,true,true,3.0,twelvedata,SNDK,marketaux,SNDK,us,en
XOM,엑슨 모빌,us,true,true,true,3.0,twelvedata,XOM,marketaux,XOM,us,en
ASML,ASML 홀딩,us,true,true,true,3.0,twelvedata,ASML,marketaux,ASML,us,en
V,비자,us,true,true,true,3.0,twelvedata,V,marketaux,V,us,en
GLD,SPDR GOLD SHARES TRUST,us,true,true,true,3.0,twelvedata,GLD,marketaux,GLD,us,en
TTWO,테이크투 인터랙티브,us,true,true,true,3.0,twelvedata,TTWO,marketaux,TTWO,us,en
DLTR,달러 트리,us,true,true,true,3.0,twelvedata,DLTR,marketaux,DLTR,us,en
NVDA,엔비디아,us,true,true,true,3.0,twelvedata,NVDA,marketaux,NVDA,us,en
GOOG,알파벳 C,us,true,true,true,3.0,twelvedata,GOOG,marketaux,GOOG,us,en
GOOGL,알파벳 A,us,true,true,true,3.0,twelvedata,GOOGL,marketaux,GOOGL,us,en
JMIA,주미아 테크놀로지,us,true,true,true,3.0,twelvedata,JMIA,marketaux,JMIA,us,en
SYM,심보틱,us,true,true,true,3.0,twelvedata,SYM,marketaux,SYM,us,en
NFLX,넷플릭스,us,true,true,true,3.0,twelvedata,NFLX,marketaux,NFLX,us,en
PFE,화이자,us,true,true,true,3.0,twelvedata,PFE,marketaux,PFE,us,en
TSLA,테슬라,us,true,true,true,3.0,twelvedata,TSLA,marketaux,TSLA,us,en
MSFT,마이크로소프트,us,true,true,true,3.0,twelvedata,MSFT,marketaux,MSFT,us,en
AMD,AMD,us,true,true,true,3.0,twelvedata,AMD,marketaux,AMD,us,en
AAPL,애플,us,true,true,true,3.0,twelvedata,AAPL,marketaux,AAPL,us,en
INTC,인텔,us,true,true,true,3.0,twelvedata,INTC,marketaux,INTC,us,en
NIU,NIU 테크놀로지,us,true,true,true,3.0,twelvedata,NIU,marketaux,NIU,us,en
CRM,세일즈포스,us,true,true,true,3.0,twelvedata,CRM,marketaux,CRM,us,en
META,메타 플랫폼스,us,true,true,true,3.0,twelvedata,META,marketaux,META,us,en
U,유니티 소프트웨어,us,true,true,true,3.0,twelvedata,U,marketaux,U,us,en
MDLZ,몬델리즈 인터내셔널,us,true,true,true,3.0,twelvedata,MDLZ,marketaux,MDLZ,us,en
COST,코스트코,us,true,true,true,3.0,twelvedata,COST,marketaux,COST,us,en
MRNA,모더나,us,true,true,true,3.0,twelvedata,MRNA,marketaux,MRNA,us,en
NBIS,네비우스 그룹,us,true,true,true,3.0,twelvedata,NBIS,marketaux,NBIS,us,en
PM,필립 모리스 인터내셔널,us,true,true,true,3.0,twelvedata,PM,marketaux,PM,us,en
NET,클라우드플레어,us,true,true,true,3.0,twelvedata,NET,marketaux,NET,us,en
CRWD,크라우드스트라이크,us,true,true,true,3.0,twelvedata,CRWD,marketaux,CRWD,us,en
LNG,세니어 에너지,us,true,true,true,3.0,twelvedata,LNG,marketaux,LNG,us,en
JPM,JP모건 체이스,us,true,true,true,3.0,twelvedata,JPM,marketaux,JPM,us,en
KO,코카콜라,us,true,true,true,3.0,twelvedata,KO,marketaux,KO,us,en
MU,마이크론 테크놀로지,us,true,true,true,3.0,twelvedata,MU,marketaux,MU,us,en
TNXP,토닉스 파마슈티컬,us,true,true,true,3.0,twelvedata,TNXP,marketaux,TNXP,us,en
000660,SK하이닉스,kr,true,true,false,3.0,legacy_naver,000660,marketaux,000660,kr,ko
089590,제주항공,kr,true,true,false,3.0,legacy_naver,089590,marketaux,089590,kr,ko
067160,SOOP,kr,true,true,false,3.0,legacy_naver,067160,marketaux,067160,kr,ko
000120,CJ대한통운,kr,true,true,false,3.0,legacy_naver,000120,marketaux,000120,kr,ko
192820,코스맥스,kr,true,true,false,3.0,legacy_naver,192820,marketaux,192820,kr,ko
028260,삼성물산,kr,true,true,false,3.0,legacy_naver,028260,marketaux,028260,kr,ko
055550,신한지주,kr,true,true,false,3.0,legacy_naver,055550,marketaux,055550,kr,ko
010120,LS ELECTRIC,kr,true,true,false,3.0,legacy_naver,010120,marketaux,010120,kr,ko
035420,NAVER,kr,true,true,false,3.0,legacy_naver,035420,marketaux,035420,kr,ko
081660,미스토홀딩스,kr,true,true,false,3.0,legacy_naver,081660,marketaux,081660,kr,ko
011200,HMM,kr,true,true,false,3.0,legacy_naver,011200,marketaux,011200,kr,ko
028670,팬오션,kr,true,true,false,3.0,legacy_naver,028670,marketaux,028670,kr,ko
298040,효성중공업,kr,true,true,false,3.0,legacy_naver,298040,marketaux,298040,kr,ko
082740,한화엔진,kr,true,true,false,3.0,legacy_naver,082740,marketaux,082740,kr,ko
